player,team,role,nationality,expected_batting_pos,expected_overs_bowled,prob_all_14,prob_starting,notes
Ruturaj Gaikwad,CSK,Batter,Indian,1,0,95,99,"Captain; confirmed opener with Samson. Anchor role. Nailed-on starter. Only injury would sideline him."
Sanju Samson,CSK,WK-Batter,Indian,2,0,90,97,"Traded from RR. Confirmed opener with Gaikwad. Primary wicketkeeper (taking over from Dhoni). 4000+ IPL runs."
Ayush Mhatre,CSK,Batter,Indian,3,0,75,85,"Confirmed to bat No.3 (not opening as in 2025). Young aggressive talent. Could be rotated or used as Impact Player in some games."
Dewald Brevis,CSK,Batter,Overseas,4,1,85,92,"Overseas slot 1. 'Baby AB' explosive middle-order. Part-time legbreak rarely used. Locked-in overseas pick."
Shivam Dube,CSK,All-rounder,Indian,5,1,90,95,"Left-hand power hitter at 5. Bowls 0-1 overs of medium pace occasionally. Reliable starter."
MS Dhoni,CSK,WK-Batter,Indian,6,0,65,80,"Finisher role; bats 6-7. CSK CEO says he'll play all matches but age (44) and knee concerns make rest likely. May be used as Impact Player some games. Samson keeps wicket when Dhoni plays as pure batter."
Prashant Veer,CSK,All-rounder,Indian,7,4,80,88,"INR 14.20 cr uncapped buy. Jadeja replacement: left-arm fingerspin + lower-order hitting. Expected to bowl full 4 overs of offspin. Key to team balance."
Jamie Overton,CSK,All-rounder,Overseas,8,4,75,70,"Overseas slot 2 (contested). Pace-bowling allrounder. Competes with Akeal Hosein for spot depending on conditions. Likely picked at pace-friendly venues."
Noor Ahmad,CSK,Bowler,Overseas,10,4,90,95,"Overseas slot 3. Afghan left-arm wrist spinner. 24 wickets in IPL 2025. CSK's spin spearhead. Near-certain starter every game."
Matt Henry,CSK,Bowler,Overseas,11,4,70,75,"Overseas slot 4 (contested with Akeal Hosein). NZ seamer; new-ball and death overs. Yet to join squad as of Mar 26. Likely starts first match but may rotate with Hosein on spin-friendly pitches."
Khaleel Ahmed,CSK,Bowler,Indian,9,4,80,85,"Indian left-arm seamer. Could be used as Impact Player (bowler sub) in many games. Second Indian pace option. Swing bowler."
Akeal Hosein,CSK,Bowler,Overseas,8,4,50,45,"Overseas wildcard. WI left-arm orthodox spinner. Competes with Overton/Henry for 4th overseas slot. Likely plays at Chepauk (spin-friendly). INR 2 cr buy."
Kartik Sharma,CSK,All-rounder,Indian,4,2,50,40,"INR 14.20 cr uncapped buy. WK-batter; aggressive finisher being groomed as Dhoni successor. Left-arm spin. May play when Dhoni is rested or as Impact Player."
Sarfaraz Khan,CSK,Batter,Indian,4,0,40,30,"Indian middle-order bat. Competes with Mhatre/Kartik Sharma for middle-order spots. Strong domestic form but crowded batting lineup."
Anshul Kamboj,CSK,All-rounder,Indian,9,4,40,30,"Indian seam-bowling allrounder. Third Indian pacer option behind Khaleel. Strong domestic season. Backup to Khaleel/pace bowling slot."
Urvil Patel,CSK,Batter,Indian,5,0,20,15,"Power-hitting batter. Deep backup option. Unlikely to feature unless multiple injuries."
Shreyas Gopal,CSK,Bowler,Indian,9,4,25,15,"Legbreak bowler. Backup spinner behind Prashant Veer and Noor Ahmad. Rarely needed given spin depth."
Rahul Chahar,CSK,Bowler,Indian,10,4,30,20,"Indian legspinner. Third spin option behind Noor Ahmad and Prashant Veer. May rotate in at specific venues."
Mukesh Choudhary,CSK,Bowler,Indian,11,4,20,10,"Left-arm fast-medium backup. Fourth-choice Indian seamer."
Gurjapneet Singh,CSK,Bowler,Indian,11,4,25,15,"Left-arm fast-medium. CSK academy product. Net bowler turned squad player. INR 2.2 cr. Deep reserve pacer."
Ramakrishna Ghosh,CSK,Bowler,Indian,11,4,15,10,"Indian seamer. Deep backup pace option."
Spencer Johnson,CSK,Bowler,Overseas,10,4,35,50,"Nathan Ellis replacement (INR 1.5 cr). Recovering from back injury; won't be available until ~Apr 21. Will miss first 4+ matches. Left-arm fast. Strong option once fit."
Matthew Short,CSK,All-rounder,Overseas,3,2,30,40,"Australian all-rounder. Fractured thumb; will miss start of tournament. Off-spin option. Could slot into top order once fit but overseas competition is fierce."
Zak Foulkes,CSK,Bowler,Overseas,11,4,15,10,"Australian seamer. Arriving late but before first game. Deep overseas reserve. Unlikely to play unless injuries to other overseas pacers."
Aman Khan,CSK,Batter,Indian,6,0,10,5,"Indian batter. Deep reserve. Extremely unlikely to feature."
Rohit Sharma,MI,Batter,Indian,1,0,90,99,"MI legend; opens batting. Confirmed opener. May be given World Cup winners' rest for 1-2 games. Otherwise nailed-on."
Quinton de Kock,MI,WK-Batter,Overseas,2,0,70,75,"Overseas slot 1. Confirmed opening partner with Rohit. Primary wicketkeeper. SA keeper-batter. INR 1 cr bargain. May rotate with Rickelton in some matches."
Suryakumar Yadav,MI,Batter,Indian,3,0,85,97,"No.3 anchor; 360-degree batter. World Cup winner; may get brief rest early season but otherwise certain starter."
Tilak Varma,MI,Batter,Indian,4,0,88,97,"Young Indian star at No.4. Consistent middle-order bat. World Cup winner; brief rest possible. Near-certain starter."
Hardik Pandya,MI,All-rounder,Indian,5,4,75,95,"Captain. Bats 5; bowls 3-4 overs of pace. Back injury history requires careful workload management. May miss 2-3 games for rest/minor niggles. World Cup winner."
Will Jacks,MI,All-rounder,Overseas,6,2,65,65,"Overseas slot 2 (contested with Rutherford). Power-hitting allrounder + off-spin. T20 World Cup 2026 star. Likely gets first preference over Rutherford but will rotate."
Naman Dhir,MI,All-rounder,Indian,7,1,70,80,"Young Indian left-hand bat; part-time offbreak. One of MI's key uncapped finds. Expected starter but could be rotated based on form."
Mitchell Santner,MI,All-rounder,Overseas,8,4,75,80,"Overseas slot 3. NZ left-arm orthodox spin allrounder. Middle-overs control. Competing with Ghazanfar for spin overseas slot. Most predictions favor Santner."
Deepak Chahar,MI,Bowler,Indian,9,4,55,75,"Indian seamer; powerplay specialist. Has NEVER played all 14 matches in any IPL season. Fitness concerns. Will rotate with Shardul Thakur."
Trent Boult,MI,Bowler,Overseas,10,4,80,85,"Overseas slot 4. Elite left-arm new-ball bowler. Retained player. Forms lethal combination with Bumrah. Some predictions (Aakash Chopra) drop him but majority include him."
Jasprit Bumrah,MI,Bowler,Indian,11,4,85,99,"India's best fast bowler. Death overs specialist. Confirmed fit for first match. World Cup winner; may get 1-2 games rest. Otherwise guaranteed starter."
Sherfane Rutherford,MI,All-rounder,Overseas,6,0,40,35,"Overseas wildcard. WI power-hitter. Competes with Will Jacks for 4th overseas slot. Wasim Jaffer picks him over Jacks. May play at specific venues needing extra batting depth."
Ryan Rickelton,MI,Batter,Overseas,2,0,35,25,"SA left-hand bat. Backup opener to de Kock. May play if de Kock is rested or if left-right combo preferred. Unlikely regular starter."
Corbin Bosch,MI,All-rounder,Overseas,8,4,20,15,"SA pace-bowling allrounder. 140+ kph. Aakash Chopra's wildcard pick. Unlikely regular starter with Boult/Santner/Jacks/de Kock filling overseas slots."
AM Ghazanfar,MI,Bowler,Overseas,10,4,25,20,"Afghan mystery off-spinner. Aakash Chopra backs him. Alternative to Santner for overseas spin slot. May play at spin-friendly venues."
Shardul Thakur,MI,All-rounder,Indian,9,4,50,50,"Traded from LSG. Seam-bowling allrounder. Rotates with Deepak Chahar. Adds batting depth. May be used as Impact Player."
Raj Bawa,MI,All-rounder,Indian,8,3,15,10,"Young Indian allrounder. U19 World Cup hero. Blocked by star-studded middle order. Likely benched most games."
Robin Minz,MI,WK-Batter,Indian,7,0,10,5,"Young Indian WK from Jharkhand. Backup keeper behind de Kock. Very unlikely to play."
Raghu Sharma,MI,WK-Batter,Indian,7,0,5,3,"Indian WK. Deep reserve. Extremely unlikely to feature."
Mayank Markande,MI,Bowler,Indian,10,4,35,35,"Indian legspinner. Traded acquisition. May play when MI want an Indian spinner instead of overseas Santner/Ghazanfar. Competes for spin slot."
Ashwani Kumar,MI,Bowler,Indian,11,4,20,15,"Indian seamer. Backup pace option behind Bumrah, Chahar, Thakur."
Atharva Ankolekar,MI,All-rounder,Indian,9,4,15,10,"Indian left-arm orthodox spinner. Deep reserve spin option."
Mohammad Izhar,MI,Bowler,Indian,11,4,10,5,"Indian seamer. Deep reserve."
Danish Malewar,MI,Batter,Indian,6,0,5,3,"Indian batter. Deep reserve."
Mayank Rawat,MI,WK-Batter,Indian,7,0,5,3,"Indian WK-batter. Deep reserve."
