rank,tier,cliff,player,team,role,nationality,expected_batting_pos,expected_overs_bowled,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts_2025,avg_bowling_pts_2025,concept_bat_pts,concept_bowl_pts,concept_total,player_fe_2025,blended_pts_per_match,pred_season_total,expected_games,prob_starting,prob_all_14,is_returning,notes
1,1,False,Cameron Green,KKR,All-rounder,Overseas,4,4,0,,,,,,,,50.3,46.1,104.4,,104.4,1211.0,11.6,95.0,75.0,False,Overseas slot 2; INR 25.2 cr record buy; pace-bowling all-rounder; bats 3-4 and bowls 4 overs; back injury history is only concern
2,1,True,Suryakumar Yadav,MI,Batter,Indian,3,0,16,1495.0,93.4,90.0,57.5,136.5,82.8,0.0,65.7,0.0,73.7,87.3,81.9,1032.0,12.6,97.0,85.0,True,No.3 anchor; 360-degree batter. World Cup winner; may get brief rest early season but otherwise certain starter.
3,1,True,Prashant Veer,CSK,All-rounder,Indian,7,4,0,,,,,,,,35.7,44.8,88.5,,88.5,982.0,11.1,88.0,80.0,False,INR 14.20 cr uncapped buy. Jadeja replacement: left-arm fingerspin + lower-order hitting. Expected to bowl full 4 overs of offspin. Key to team balance.
4,1,False,Mitchell Marsh,LSG,All-rounder,Overseas,2,2,13,1279.0,98.4,112.0,3.2,164.4,90.8,0.0,72.5,21.5,102.0,61.2,77.5,953.0,12.3,95.0,85.0,True,"Overseas slot 2. Australian pace-bowling allrounder. 627 runs in IPL 2025 (avg 48.23, SR 163.70). Opens batting. Bowls 1-2 overs of medium-fast. May miss start if Aus players delayed."
5,1,False,Finn Allen,KKR,WK-Batter,Overseas,1,0,0,,,,,,,,72.5,0.0,80.5,,80.5,934.0,11.6,92.0,80.0,False,Overseas slot 1; NZ explosive opener; confirmed to open with Rahane; high ceiling but can be inconsistent
6,1,False,B Sai Sudharsan,GT,Batter,Indian,2,0,15,1535.0,102.3,98.0,34.6,172.0,91.3,0.0,72.5,0.0,80.5,65.3,71.4,921.0,12.9,97.0,90.0,True,Left-hand opener; Orange Cap winner 2025 (759 runs). Recovered from rib fracture (Jan 2026); training with squad at Nathdwara camp. Fit for first match.
7,1,False,Abhishek Sharma,SRH,All-rounder,Indian,2,2,10,432.0,43.2,29.0,5.9,84.9,35.8,0.0,70.3,21.0,99.3,49.8,69.6,919.0,13.2,99.0,90.0,True,Vice-captain; left-hand opener; left-arm orthodox spin (1-2 overs); guaranteed starter; opens with Head
8,1,False,Varun Chakravarthy,KKR,Bowler,Indian,8,4,0,,,,,,,,24.2,38.9,71.0,,71.0,916.0,12.9,97.0,90.0,False,India mystery spinner; excellent economy; near-certain every match; 4 overs guaranteed
9,1,False,Dewald Brevis,CSK,Batter,Overseas,4,1,6,505.0,84.2,85.0,44.0,123.5,68.8,0.0,44.2,13.9,66.1,83.8,76.7,913.0,11.9,92.0,85.0,True,Overseas slot 1. 'Baby AB' explosive middle-order. Part-time legbreak rarely used. Locked-in overseas pick.
10,2,False,Shreyas Iyer,PBKS,Batter,Indian,3,0,17,1298.0,76.4,58.0,10.0,181.2,66.6,0.0,67.9,0.0,75.9,62.8,68.0,898.0,13.2,98.0,92.0,True,Captain; INR 26.75 cr; premier Indian middle-order bat; bats 3; anchors innings; franchise leader; near-certain for all 14
