player,team,role,nationality,expected_batting_pos,expected_overs_bowled,prob_all_14,prob_starting,notes
KL Rahul,DC,WK-Batter,Indian,1,0,90,95,"Opens batting; keeps wicket; anchor role; experienced Indian top-order bat; retained player"
Pathum Nissanka,DC,Batter,Overseas,2,0,70,80,"Sri Lankan opener; slots in after Ben Duckett withdrew from IPL 2026; aggressive stroke-maker; may lose spot if DC sign Duckett replacement or Starc returns and overseas balance shifts"
Nitish Rana,DC,Batter,Indian,3,0,75,85,"Traded to DC for INR 4.20 cr; left-hand bat provides stability at No.3; could rotate with Karun Nair based on form/matchup"
Tristan Stubbs,DC,Batter,Overseas,4,0,85,90,"Overseas; SA explosive middle-order bat; scored 300 runs at 150.75 SR in IPL 2025; key finisher"
David Miller,DC,Batter,Overseas,5,0,85,90,"Overseas; SA left-hand finisher; acquired for INR 2 cr; experienced IPL performer; bats 5 or 6"
Axar Patel,DC,All-rounder,Indian,6,4,92,98,"Captain; left-arm orthodox spin allrounder; bowls 4 overs every game; bats 5-7 depending on situation; franchise cornerstone"
Ashutosh Sharma,DC,All-rounder,Indian,7,1,65,70,"Right-hand power hitter; part-time medium pace; may rotate with Sameer Rizvi or Karun Nair based on matchups"
Kuldeep Yadav,DC,Bowler,Indian,8,4,88,95,"India's premier wrist spinner; 15 wickets in 14 matches in IPL 2025; guaranteed starter when fit"
Auqib Nabi Dar,DC,All-rounder,Indian,9,4,55,65,"J&K seam-bowling allrounder; INR 8.40 cr buy; preferred over T Natarajan in some predictions; uncapped; could lose spot when Starc arrives"
Lungi Ngidi,DC,Bowler,Overseas,10,4,60,70,"Overseas; SA right-arm fast; likely plays while Starc awaits CA clearance; will rotate with Starc/Chameera once all overseas pacers available"
T Natarajan,DC,Bowler,Indian,11,4,60,65,"Left-arm yorker specialist; INR 10.75 cr retention; injury history limits availability; competes with Mukesh Kumar and Auqib Nabi for pace slots"
Karun Nair,DC,Batter,Indian,4,0,50,40,"Middle-order bat; strong domestic form; retained player; likely 12th/13th man unless top order struggles; backup for positions 3-5"
Abishek Porel,DC,WK-Batter,Indian,3,0,40,35,"Left-hand WK-bat; could open or bat 3 if DC want KL Rahul lower; young talent; backup keeper option"
Prithvi Shaw,DC,Batter,Indian,2,0,30,25,"Could open alongside KL Rahul; strong Ranji form (537 runs at 48.82); Indian opener saves overseas slot; fitness/discipline concerns historically"
Mitchell Starc,DC,Bowler,Overseas,10,4,50,50,"Elite left-arm fast; awaiting Cricket Australia NOC; will miss first few matches due to workload management; when available replaces Ngidi in overseas slot"
Mukesh Kumar,DC,Bowler,Indian,11,4,45,35,"Indian right-arm seamer; 12 wickets in 12 innings previously; backup pacer; plays if Natarajan/Nabi rested or injured"
Dushmantha Chameera,DC,Bowler,Overseas,11,4,25,15,"Overseas; Sri Lankan right-arm fast; backup overseas pacer; only plays if both Starc and Ngidi unavailable"
Kyle Jamieson,DC,All-rounder,Overseas,8,4,20,10,"Overseas; NZ tall seam-bowling allrounder; low priority in overseas pecking order behind Starc/Ngidi/Stubbs/Miller/Nissanka"
Sameer Rizvi,DC,All-rounder,Indian,7,1,30,20,"Young Indian allrounder; batting backup for middle order; competes with Ashutosh Sharma"
Vipraj Nigam,DC,Bowler,Indian,9,4,40,35,"20-year-old spinner; 142 runs and 11 wickets in 14 matches last season; may play as third spinner on turning tracks"
Madhav Tiwari,DC,Batter,Indian,5,0,15,10,"Young Indian batter; squad depth option; unlikely to start"
Prabhsimran Singh,PBKS,WK-Batter,Indian,1,0,88,95,"Aggressive opener-WK; 549 runs in IPL 2025; part of dynamic opening partnership with Priyansh Arya; franchise cornerstone"
Priyansh Arya,PBKS,Batter,Indian,2,0,80,90,"Left-hand aggressive opener; 475 runs at 179.24 SR in IPL 2025; explosive starts; may occasionally rotate but likely nailed-on"
Shreyas Iyer,PBKS,Batter,Indian,3,0,92,98,"Captain; INR 26.75 cr; premier Indian middle-order bat; bats 3; anchors innings; franchise leader; near-certain for all 14"
Marcus Stoinis,PBKS,All-rounder,Overseas,4,2,82,90,"Overseas; Australian pace-bowling allrounder; INR 11 cr retention; bats 4-5; bowls 1-2 overs of medium pace; key balance player"
Nehal Wadhera,PBKS,Batter,Indian,5,0,80,85,"Power-hitting Indian middle-order bat; 369 runs in IPL 2025; bats 4 or 5; could lose spot only if overseas allrounder preferred"
Shashank Singh,PBKS,All-rounder,Indian,6,1,85,90,"Indian finisher; 350+ runs with 7 not-outs in 14 innings in IPL 2025; 61*(30) in final; part-time medium pace; bats 6-7"
Azmatullah Omarzai,PBKS,All-rounder,Overseas,7,4,78,85,"Overseas; Afghan seam-bowling allrounder; INR 2.4 cr; game-changing ability with bat and ball; bowls 3-4 overs of fast-medium"
Marco Jansen,PBKS,All-rounder,Overseas,8,4,82,90,"Overseas; SA left-arm fast-bowling allrounder; INR 7 cr; 16 wickets in 14 matches in IPL 2025; key with new ball and death overs"
Harpreet Brar,PBKS,All-rounder,Indian,9,4,78,85,"Left-arm orthodox spin allrounder; handy lower-order bat; bowls full quota; may rotate with Chahal on pace-friendly tracks"
Yuzvendra Chahal,PBKS,Bowler,Indian,10,4,85,90,"India's leading IPL wicket-taker; INR 18 cr; right-arm legbreak; 16 wickets in 14 matches in 2025; near-certain starter"
Arshdeep Singh,PBKS,Bowler,Indian,11,4,90,95,"India left-arm death-overs specialist; 21 wickets for PBKS in 2025; franchise talisman; near-certain for all 14"
Xavier Bartlett,PBKS,Bowler,Overseas,11,4,50,60,"Overseas; Australian right-arm fast-medium; replaces Lockie Ferguson early season; will rotate with Ferguson once he returns mid-season"
Lockie Ferguson,PBKS,Bowler,Overseas,11,4,35,0,"Overseas; NZ right-arm fast; on paternity leave; will miss first ~7 matches; expected to return mid-season; when available competes with Bartlett for overseas pace slot"
Musheer Khan,PBKS,Batter,Indian,5,1,30,20,"Young left-hand bat; left-arm orthodox bowling option; batting insurance if top order struggles; squad depth"
Mitch Owen,PBKS,All-rounder,Overseas,3,1,35,25,"Overseas; BBL star with Hobart Hurricanes; can bat 3-4; Irfan Pathan suggested rotating with Iyer at 3/4; competes for overseas slot"
Cooper Connolly,PBKS,All-rounder,Overseas,6,0,25,15,"Overseas; Australian left-hand bat/left-arm orthodox; suspected stress fracture in back means he may not bowl; limited to batting role reduces value; squad depth option"
Ben Dwarshuis,PBKS,Bowler,Overseas,11,4,30,20,"Overseas; Australian left-arm fast-medium; INR 4.40 cr; T20 seam expertise; backup pace option when Ferguson absent and Bartlett rested"
Vyshak Vijaykumar,PBKS,Bowler,Indian,11,4,40,30,"Indian right-arm fast-medium; backup seamer; plays if overseas pace quota is full or on seam-friendly tracks needing extra pace"
Yash Thakur,PBKS,Bowler,Indian,11,4,30,20,"Indian right-arm fast-medium; squad depth seamer; backup for Arshdeep Singh"
Suryansh Shedge,PBKS,All-rounder,Indian,7,2,20,10,"Young Indian allrounder; squad depth; unlikely to start barring injuries"
Vishnu Vinod,PBKS,WK-Batter,Indian,7,0,15,5,"Backup wicketkeeper; only plays if Prabhsimran Singh injured"
Pravin Dubey,PBKS,Bowler,Indian,10,4,15,5,"Right-arm legbreak; covers for Chahal as legspinner insurance; unlikely to start"
Pyla Avinash,PBKS,All-rounder,Indian,8,2,15,5,"Indian allrounder; squad depth option"
Harnoor Singh Pannu,PBKS,Batter,Indian,4,0,10,5,"Left-hand bat; young talent; deep squad backup"
Vishal Nishad,PBKS,Bowler,Indian,11,4,10,5,"Indian seamer; lowest priority backup pacer"
