player,team,role,nationality,expected_batting_pos,expected_overs_bowled,prob_all_14,prob_starting,notes
Yashasvi Jaiswal,RR,Batter,Indian,1,0,95,99,"India opener; aggressive left-hand bat; nailed-on starter; only risk is national duty or minor niggle"
Vaibhav Suryavanshi,RR,Batter,Indian,2,0,80,90,"14-yr-old prodigy; left-hand opener; sensational pre-season form; may be rested in dead rubbers or rotated with Shubham Dubey"
Riyan Parag,RR,All-rounder (bat-leaning),Indian,3,1,95,99,"Captain; bats 3; part-time offbreak (0-1 overs); guaranteed starter"
Shimron Hetmyer,RR,Batter,Overseas,4,0,75,90,"Overseas slot 1; WI left-hand power-hitter; strong T20 WC 2026 form (SR 186); fitness/availability has been inconsistent historically"
Dhruv Jurel,RR,WK-Batter,Indian,5,0,90,95,"India WK; middle-order anchor; guaranteed starter when fit; minor rotation risk if India call-up"
Ravindra Jadeja,RR,All-rounder,Indian,6,4,90,99,"Traded from CSK; elite left-arm orthodox (4 overs); bats 6; experience and all-round value makes him undroppable"
Dasun Shanaka,RR,All-rounder,Overseas,7,3,60,80,"Overseas slot 2; SL T20I captain; Sam Curran's replacement; seam-bowling AR (2-3 overs); loses spot when/if Curran returns or if overseas combo changes"
Jofra Archer,RR,Bowler,Overseas,9,4,50,85,"Overseas slot 3; England express pacer; elite death bowler; massive injury history (elbow surgeries); has never completed a full IPL season healthy; 4 overs when he plays"
Ravi Bishnoi,RR,Bowler,Indian,8,4,85,90,"India legspinner; INR 7.2 cr buy; bowls 4 overs in middle phase; may occasionally be used as Impact Player sub"
Tushar Deshpande,RR,Bowler,Indian,10,4,80,85,"Indian seamer; consistent wicket-taker; bowls 4 overs; competes with Sandeep Sharma and Kuldeep Sen for one pace slot"
Nandre Burger,RR,Bowler,Overseas,11,4,55,70,"Overseas slot 4; SA left-arm pacer; competes with Adam Milne and Kwena Maphaka; may rotate based on conditions and opponent"
Sandeep Sharma,RR,Bowler,Indian,10,4,50,50,"Backup Indian seamer; swing bowler; plays if Tushar rested or conditions suit swing; veteran option"
Donovan Ferreira,RR,All-rounder,Overseas,7,1,30,35,"Overseas backup; SA batting AR with part-time offbreak; R Ashwin's pick as finisher; competes for overseas slot with Shanaka/Burger; plays in specific matchups"
Adam Milne,RR,Bowler,Overseas,11,4,25,30,"Overseas backup pacer; NZ right-arm fast; competes with Nandre Burger and Maphaka for the 4th overseas slot"
Kwena Maphaka,RR,Bowler,Overseas,11,4,25,25,"Overseas backup; SA left-arm fast teenager; exciting raw talent; may get games mid-season if Archer injured or rotation needed"
Shubham Dubey,RR,Batter,Indian,3,0,20,25,"Indian backup batter; right-hand bat; plays if Suryavanshi rested or team needs more experience in middle order"
Kuldeep Sen,RR,Bowler,Indian,11,4,20,20,"Indian backup seamer; right-arm fast; plays if Tushar or Sandeep injured/rested"
Lhuan-Dre Pretorius,RR,All-rounder,Overseas,7,3,15,15,"Overseas backup; SA pace AR; deep backup behind Shanaka/Ferreira; unlikely to feature unless multiple overseas injuries"
Travis Head,SRH,Batter,Overseas,1,1,90,99,"Overseas slot 1; Aus aggressive opener; part-time offbreak (0-1 overs); elite T20 form; only risk is late-season Aus commitments"
Abhishek Sharma,SRH,All-rounder,Indian,2,2,90,99,"Vice-captain; left-hand opener; left-arm orthodox spin (1-2 overs); guaranteed starter; opens with Head"
Ishan Kishan,SRH,WK-Batter,Indian,3,0,90,99,"Stand-in captain while Cummins out; WK; bats 3; guaranteed starter; may revert to lower role when Cummins returns"
Heinrich Klaasen,SRH,WK-Batter,Overseas,4,0,90,99,"Overseas slot 2; SA power-hitting WK; middle-order destroyer; nailed on; only risk is late-season fatigue"
Nitish Kumar Reddy,SRH,All-rounder,Indian,5,2,90,95,"Young Indian AR; seam bowling (1-2 overs); bats 5; crucial utility player; IPL 2024 emerging player"
Liam Livingstone,SRH,All-rounder,Overseas,6,2,80,95,"Overseas slot 3; England power-hitter; legbreak bowling (1-2 overs); INR 13 cr buy; may miss games if ECB manages workload"
Aniket Verma,SRH,Batter,Indian,7,0,65,80,"Uncapped breakout star from IPL 2025 (236 runs SR 166); finisher role; may be rotated with Harsh Dubey based on matchup"
Harshal Patel,SRH,Bowler,Indian,8,4,85,95,"Experienced Indian seamer; death overs specialist; bowls 4 overs; predicted highest SRH wicket-taker by Aakash Chopra"
Brydon Carse,SRH,Bowler,Overseas,9,4,70,85,"Overseas slot 4 (while Cummins out); England right-arm fast; bowls 4 overs; loses spot when Cummins returns mid-season"
Jaydev Unadkat,SRH,Bowler,Indian,10,4,60,75,"Experienced left-arm seamer; swing option; bowls 4 overs; may rotate with Shivam Mavi; more likely early season"
Harsh Dubey,SRH,All-rounder,Indian,9,4,45,55,"Right-arm offbreak spinner; bats lower order; plays as primary spinner option; competes with Zeeshan Ansari"
