player,team,role,nationality,expected_batting_pos,expected_overs_bowled,prob_all_14,prob_starting,notes
Virat Kohli,RCB,Batter,Indian,1,0,95,99,"Opens batting; all-time IPL run-scorer; defending champions anchor; near-certain starter every game"
Phil Salt,RCB,WK-Batter,Overseas,2,0,80,90,"Overseas slot 1; explosive keeper-opener; recent T20 WC form underwhelming (130 runs); Jacob Bethell breathing down his neck; could be rotated if form dips"
Devdutt Padikkal,RCB,Batter,Indian,3,0,60,75,"Left-hand bat at No.3; elegant but inconsistent; may lose spot to Venkatesh Iyer or Bethell combination if struggling"
Rajat Patidar,RCB,Batter,Indian,4,0,90,98,"Captain; middle-order mainstay; led RCB to 2025 title; near-certain every game barring injury"
Tim David,RCB,Batter,Overseas,5,0,85,92,"Overseas slot 2; designated power-hitter/finisher; locked in when fit; minimal bowling"
Jitesh Sharma,RCB,WK,Indian,6,0,80,88,"Primary wicket-keeper; aggressive middle-order bat; could lose spot if Bethell/Shepherd combo changes require Jordan Cox"
Romario Shepherd,RCB,All-rounder,Overseas,7,3,70,80,"Overseas slot 3; WI pace-bowling all-rounder; provides batting depth and death overs; competes with Bethell for overseas spot"
Krunal Pandya,RCB,All-rounder,Indian,8,4,90,95,"Left-arm orthodox spin; crucial middle-overs control; batting utility at 7-8; near-certain starter"
Bhuvneshwar Kumar,RCB,Bowler,Indian,9,4,85,95,"Experienced Indian seamer; swing specialist; extra responsibility with Hazlewood/Dayal absent early; may be rested in dead rubbers"
Jacob Duffy,RCB,Bowler,Overseas,10,4,40,85,"Overseas slot 4 (filling in for Hazlewood); NZ seamer; new-ball option in first few matches; likely replaced when Hazlewood returns mid-April"
Mangesh Yadav,RCB,Bowler,Indian,11,4,50,75,"Express left-arm pacer; uncapped; IPL debut expected vs SRH; replaces Yash Dayal; may be rotated with Rasikh Dar based on conditions"
Jacob Bethell,RCB,All-rounder,Overseas,5,2,60,40,"NOT in likely first XI but huge pressure to include after T20 WC century vs India; left-arm orthodox spin option; if Salt/Duffy/Shepherd dropped he comes in; likely plays 8-10 matches across season"
Josh Hazlewood,RCB,Bowler,Overseas,11,4,55,0,"Overseas; injured (Achilles/hamstring); joined RCB camp Mar 26 but expected to miss first 3-5 matches; return estimated mid-April; when fit replaces Duffy"
Yash Dayal,RCB,Bowler,Indian,11,4,0,0,"Banned from RCB camp; personal reasons; will NOT play IPL 2026 per RCB Director Mo Bobat"
Nuwan Thushara,RCB,Bowler,Overseas,11,4,0,0,"Failed SLC fitness test; did NOT receive NOC from Sri Lanka Cricket; unavailable for IPL 2026"
Rasikh Dar,RCB,Bowler,Indian,11,4,40,30,"Indian seamer; impact sub option; could start if Mangesh Yadav struggles; likely plays 5-7 matches"
Suyash Sharma,RCB,Bowler,Indian,10,4,30,25,"Leg-spinner; impact sub option; useful on turning tracks; likely plays 3-5 matches"
Venkatesh Iyer,RCB,All-rounder,Indian,6,2,50,30,"Left-hand bat; medium pace option; may come in for Padikkal or as impact sub; squad player"
Swapnil Singh,RCB,Bowler,Indian,10,4,20,15,"Left-arm orthodox; backup spinner; plays only on spin-friendly surfaces"
Finn Allen,KKR,WK-Batter,Overseas,1,0,80,92,"Overseas slot 1; NZ explosive opener; confirmed to open with Rahane; high ceiling but can be inconsistent"
Ajinkya Rahane,KKR,Batter,Indian,2,0,90,97,"Captain; anchor role at top of order; experienced; near-certain every game unless rested"
Angkrish Raghuvanshi,KKR,Batter,Indian,3,0,55,70,"Young Indian bat; scored century in intra-squad match; may bat 3 or 4; could be dropped for form/matchup reasons"
Cameron Green,KKR,All-rounder,Overseas,4,4,75,95,"Overseas slot 2; INR 25.2 cr record buy; pace-bowling all-rounder; bats 3-4 and bowls 4 overs; back injury history is only concern"
Rinku Singh,KKR,Batter,Indian,5,0,90,97,"Finisher; left-hand middle-order bat; near-certain every game; expanded role with Russell gone"
Ramandeep Singh,KKR,All-rounder,Indian,6,1,80,88,"Indian all-rounder; handy medium pace; reliable finisher; part-time overs"
Sunil Narine,KKR,All-rounder,Overseas,7,4,85,95,"Overseas slot 3; mystery off-spinner; confirmed NOT opening this season; bats 7-8; bowls full quota; veteran presence"
Varun Chakravarthy,KKR,Bowler,Indian,8,4,90,97,"India mystery spinner; excellent economy; near-certain every match; 4 overs guaranteed"
Vaibhav Arora,KKR,Bowler,Indian,9,4,85,92,"Indian seamer; leads pace attack with Harshit Rana ruled out; reliable swing bowler"
Kartik Tyagi,KKR,Bowler,Indian,10,4,50,75,"Indian seamer; expected to debut for KKR; plays while Pathirana is injured; may lose spot when Pathirana returns"
Blessing Muzarabani,KKR,Bowler,Overseas,11,4,45,80,"Overseas slot 4; Zimbabwe pacer; replaced Mustafizur Rahman; plays until Pathirana fit; then competes for spot"
Matheesha Pathirana,KKR,Bowler,Overseas,11,4,55,0,"Overseas; hamstring injury; expected return mid-April; INR 18 cr buy; replaces Muzarabani when fit; may miss 3-5 early matches"
Harshit Rana,KKR,Bowler,Indian,10,4,0,0,"Ruled out entire IPL 2026; knee surgery after T20 WC warm-up injury; replaced by Navdeep Saini"
Akash Deep,KKR,Bowler,Indian,10,4,0,0,"Ruled out of IPL 2026 due to injury; replaced by Saurabh Dubey"
Navdeep Saini,KKR,Bowler,Indian,10,4,25,20,"Injury replacement for Harshit Rana; backup seamer; likely plays only 2-4 matches if Tyagi/Arora are fit"
Umran Malik,KKR,Bowler,Indian,11,4,35,25,"Express pace; expected to be used as impact sub for bowling innings; plays 4-6 matches"
Rovman Powell,KKR,All-rounder,Overseas,6,1,30,15,"Overseas; WI power-hitter; competes for overseas slot but unlikely to start with Allen/Green/Narine/Muzarabani taking 4 spots; impact sub option"
Rachin Ravindra,KKR,All-rounder,Overseas,3,3,30,15,"Overseas; NZ left-hand bat + left-arm orthodox; R Ashwin excluded him from predicted XI; competes for overseas slot; impact sub candidate"
Manish Pandey,KKR,Batter,Indian,4,0,30,20,"Experienced Indian bat; backup middle-order option; plays if Raghuvanshi dropped"
Rahul Tripathi,KKR,Batter,Indian,4,0,25,15,"Indian middle-order bat; squad depth option; unlikely to start unless injuries/form issues"
Tejasvi Singh,KKR,WK,Indian,6,0,20,15,"Young WK-bat; uncapped; backup keeper option if Allen is rested and different overseas combo used"
