player,team,role,nationality,expected_batting_pos,expected_overs_bowled,prob_all_14,prob_starting,notes
Shubman Gill,GT,Batter,Indian,1,0,95.0,99.0,Captain; opens batting with Sudharsan. Indian top-order mainstay. No injury concerns. Near-certain for all 14.
B Sai Sudharsan,GT,Batter,Indian,2,0,90.0,97.0,Left-hand opener; Orange Cap winner 2025 (759 runs). Recovered from rib fracture (Jan 2026); training with squad at Nathdwara camp. Fit for first match.
Jos Buttler,GT,WK-Batter,Overseas,3,0,85.0,95.0,"Overseas slot 1. Explosive WK-bat at No.3. Poor T20 WC 2026 form (avg 20.4, SR 135). Overseas so small rotation risk. May be rested for 1-2 games if form dips."
Glenn Phillips,GT,All-rounder,Overseas,4,2,75.0,80.0,Overseas slot 2 (contested). Avg 41 at SR 148.66 since 2025; offbreak bowling option + elite fielding. Competes with Jason Holder for 4th overseas spot. Phillips preferred on batting-friendly pitches.
Washington Sundar,GT,All-rounder,Indian,5,4,85.0,90.0,Off-spin allrounder. Crucial in middle overs. Batted at No.4 last season with limited impact; may slide to No.5/6. Bowls 4 overs of tight off-spin. Reliable selection.
M Shahrukh Khan,GT,All-rounder,Indian,6,1,80.0,85.0,Power-hitting finisher. Part-time medium pace (0-1 overs). May be used as Impact Player on some days. Strong six-hitting ability in death overs.
Rahul Tewatia,GT,All-rounder,Indian,7,2,70.0,75.0,Left-hand finisher; part-time legbreak. Veteran presence. May rotate with Sai Kishore or be used as Impact Player depending on match-ups.
Rashid Khan,GT,All-rounder,Overseas,8,4,90.0,98.0,"Overseas slot 3. World-class leg-spinner + lower-order hitter. Worst IPL season in 2025 (<10 wkts, eco 9+, avg 57). Still near-certain starter. Guaranteed 4 overs."
Kagiso Rabada,GT,Bowler,Overseas,9,4,80.0,85.0,Overseas slot 4 (contested). SA pace spearhead. Some experts (Mukund) pick Holder over Rabada. Near-certain on pace-friendly tracks. May miss 1-2 if Jason Holder rotated in.
Mohammed Siraj,GT,Bowler,Indian,10,4,90.0,95.0,India fast bowler. Led GT pace attack in 2025 (16 wkts in 15 matches). New-ball and death overs specialist. Very reliable; should play nearly all matches.
Prasidh Krishna,GT,Bowler,Indian,11,4,60.0,65.0,"Tall Indian seamer; bounce and pace. May rotate with R Sai Kishore depending on pitch. On spin-friendly tracks, Sai Kishore starts instead. Backup pacer role."
Jason Holder,GT,All-rounder,Overseas,5,4,65.0,70.0,"Overseas slot contender. WI allrounder; excellent T20 WC 2026 (141 runs at SR 174, plus wickets). Competes with Phillips/Rabada for overseas slots. Starts on seam-friendly pitches."
R Sai Kishore,GT,All-rounder,Indian,9,4,55.0,60.0,Left-arm orthodox spinner. 19 wickets in IPL 2025. Rotates with Prasidh Krishna depending on conditions. Impact Player candidate. Excellent economy.
Kumar Kushagra,GT,WK,Indian,4,0,15.0,20.0,Uncapped WK-bat from Jharkhand. R Ashwin picked him in his XII. Could be Impact Player option. Unlikely to start unless Buttler rested.
Anuj Rawat,GT,WK,Indian,7,0,10.0,15.0,Backup Indian WK-bat. Would only play if Buttler unavailable and management wants Indian WK. Behind Kushagra in pecking order per most experts.
Rishabh Pant,LSG,WK-Batter,Indian,3,0,95.0,99.0,Captain and WK. Confirmed to bat No.3 for 2026 (per PTI/team sources). Forgettable 2025 (202 runs; avg 19.5 vs spin). Make-or-break season. Near-certain all 14.
